song_idx,song_name,song_short_name,sloka_statues,division,division_no,total_slokas,groups,devotion_god,author,describtion,other_links
50,Sri Guru Carana Padma,srigurucaranapadmakevala,1,,0,,,,Narottama Dasa Thakura,Official Name:  Guru Vandana (Verses 1 to 4),"lyrics link: http://kksongs.org/songs/s/srigurucaranapadma.html 
  sysnonym link:  http://kksongs.org/synonym/s/srigurucaranapadmakevala.html"
51,Sri Krsna Caitanya Prabhu Doya Koro More,srikrsnacaitanyaprabhudoya,1,,0,,,,Narottama Dasa Thakura,Official Name:  Savarana Sri Gaura Pada Padme Prarthana,"lyrics link: http://kksongs.org/songs/s/srikrsnacaitanyaprabhu.html 
  sysnonym link:  http://kksongs.org/synonym/s/srikrsnacaitanyaprabhudoya.html"
52,Sri Rupa Manjari Pada Sei Mora Sampada,srirupamanjaripada,1,,0,,,,Narottama Dasa Thakura,Official Name: Lalasa Song 1,"lyrics link:  http://kksongs.org/songs/s/srirupamanjaripada.html 
  sysnonym link:  http://kksongs.org/synonym/s/srirupamanjaripada.html"
53,Srita Kamala,sritakamala,1,,0,,,,Jayadeva Goswami,Official Name:  Mangala Gitam,"lyrics link:  http://kksongs.org/songs/s/sritakamala.html 
  sysnonym link:  http://kksongs.org/synonym/s/sritakamala.html"
54,Suddha Bhakata Carana Renu,suddhabhakata,1,,0,,,,Bhaktivinoda Thakura,Official Name: Bhakti Anukula Matra Karyera Svikara Song 3,"lyrics link:  http://kksongs.org/songs/s/suddhabhakata.html 
  sysnonym link:  http://kksongs.org/synonym/s/suddhabhakata.html"
55,Sujanarvuda Radhita Pada Yugam,sujanarvudaradhitapada,1,,0,,,,Sridhara Goswami,Official Name: Srila Prabhupada Padma Stavakah,"lyrics link:  http://kksongs.org/songs/s/sujanarvudaradhitapada.html 
  sysnonym link:  http://kksongs.org/synonym/s/sujanarvudaradhitapada.html"
56,Sulabho Bhakti Yuktanam,sulabhobhaktiyuktanam,1,,0,,,,Vyasadeva,Official Name: Sanaiscara-krta Sri Narasimha Stuti,"lyrics link:  http://kksongs.org/songs/s/sulabhobhaktiyuktanam.html 
  sysnonym link:  http://kksongs.org/synonym/s/sulabhobhaktiyuktanam.html"
57,Sundara Mora Mana Kisora,sundaramor,1,,0,,,,Anonymous,Official Name: None,"lyrics link:  http://kksongs.org/songs/s/sundaramor.html 
  sysnonym link:  http://kksongs.org/synonym/s/sundaramor.html"
58,Tum Meri Rakho Laja Hari,tummerirakholajahari,1,,0,,,,Sura Dasa,Official Name: None,"lyrics link:  http://kksongs.org/songs/t/tummerirakholajahari.html 
  sysnonym link:  http://kksongs.org/synonym/t/tummerirakholajahari.html"
59,Udilo Aruna Puraba Bhage,udiloaruna,1,,0,,,,Bhaktivinoda Thakura,Official Name: Arunodaya Kirtana Song 1,"lyrics link:  http://kksongs.org/songs/u/udiloaruna.html 
  sysnonym link:  http://kksongs.org/synonym/u/udiloaruna.html"
60,Vamsi Dhari Krsna Murari,vamsidharikrsna,1,,0,,,,Traditional,Official Name: None,"lyrics link:  http://kksongs.org/songs/v/vamsidharikrsna.html 
  sysnonym link:  http://kksongs.org/synonym/v/vamsidharikrsna.html"
61,Vibhavari Sesa,vibhavarisesa,1,,0,,,,Bhaktivinoda Thakura,Official Name: Ucchvasa Ucchvasa Kirtana Nama Kirtana Song 2,"lyrics link:  http://kksongs.org/songs/v/vibhavarisesa.html 
  sysnonym link:  http://kksongs.org/synonym/v/vibhavarisesa.html"
62,Vidyara Vilase,vidyaravilase,1,,0,,,,Bhaktivinoda Thakura,Official Name: Dainya Song 2,"lyrics link: http://kksongs.org/songs/v/vidyaravilasekatainukala.html 
  sysnonym link:  http://kksongs.org/synonym/v/vidyaravilase.html"
63,Vrndavana Ramya Sthana,vrndavanaramyasthana,1,,0,,,,Narottama Dasa Thakura,Official Name: Vrndavana Ramya Sthana,"lyrics link: http://kksongs.org/songs/v/vrndavanaramya.html 
  sysnonym link:  http://kksongs.org/synonym/v/vrndavanaramyasthana.html"
64,Yasomati Nandana,yasomatinandana,1,,0,,,,Bhaktivinoda Thakura,Official Name: Nama Kirtana Song 1,"lyrics link:  http://kksongs.org/songs/y/yasomatinandana.html 
  sysnonym link:  http://kksongs.org/synonym/y/yasomatinandana.html"
65,KabeGauraVane,kabegauravane ,1,,0,,,,BhaktivinodaThakura,Official Name: None,"lyrics link: http://kksongs.org/songs/k/kabegauravane.html 
  sysnonym link:  http://kksongs.org/synonym/kabegauravane.html"
66,Kabe Ha’be Bolo,kabehabebolo ,1,,0,,,,Bhaktivinoda Thakura,Official Name: None,"lyrics link: http://kksongs.org/songs/k/kabehabebolo.html 
  sysnonym link:  http://kksongs.org/synonym/kabehabebolo.html"
67,Krsna Hoite Caturmukha,krsnahoitecaturmukha ,1,,0,,,,BhaktisiddhantaSarasvatiThakura,Official Name: None,"lyrics link: http://kksongs.org/songs/k/krsnahoitecatur.html 
  sysnonym link:  http://kksongs.org/synonym/krsnahoitecaturmukha.html"
68,KrsnotkirtanaGanaNartana(Sri Sadgosvamyastakam),krsnotkirtanagananartana ,1,,0,,,,SrinivasaAcarya,Official Name: None,"lyrics link: http://kksongs.org/songs/k/krsnotkirtana.html 
  sysnonym link:  http://kksongs.org/synonym/krsnotkirtanagananartana.html"
69,NamoNamahTulasiKrsnaPreyasi(I),namonamahtulasikrsna1 ,1,,0,,,,KrsnaDasa,Official Name: None,"lyrics link: http://kksongs.org/songs/n/namonamahtulasikrsna.html 
  sysnonym link:  http://kksongs.org/synonym/namonamahtulasikrsna1.html"
70,NamoNamahTulasiMaharani (Sri TulasiArotik),namonamahtulasimaharani ,1,,0,,,,CandrasekharaKavi,Official Name: None,"lyrics link: http://kksongs.org/songs/n/namonamahtulasimaharani.html 
  sysnonym link:  http://kksongs.org/synonym/namonamahtulasimaharani.html"
71,Nitai pada kamala ,nitaipadakamala ,1,,0,,,,Narottama Dasa Thakura,Official Name: Nitai pada kamala ,"lyrics link: http://kksongs.org/songs/n/nitaipadakamala.html 
  sysnonym link:  http://kksongs.org/synonym/nitaipadakamala.html"
72,Mahiṣāsura Mardini Stotram,MahiṣāsuraMardiniStotraṁ,1,,0,,,,"Shri Adi Shankaracharya  wrote Mahishasura Mardinee Sthothram
popularised by Ramakrishna Kavi [ devotee of Mahakali] ",Offical Name: Mahishasura Mardinee Sthothram,"https://greenmesg.org/stotras/durga/mahishasura_mardini_stotram.php
https://www.quora.com/Who-composed-the-Mahishasura-Mardini-Stotram
https://www.sanskritdictionary.com/
https://www.learnsanskrit.cc
https://vedabase.io/en/search/synonyms/"
73,My Dasavatara Stotram10,MyDasavataraStotram10,1,,0,21.0,,vishnu,Jayadeva Goswami,some ,"http://kksongs.org/songs/p/pralayapayodhijale.html <br>
http://kksongs.org/synonym/p/pralayapayodhijale.html "
